scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-A,random_forest_poisson__multi_step__raw__two_stage,shift_global,30,8.911175635530082,7.936152905614489,11.844499006592969,8.08815233887349,10.604522370042268
S-B,chain_ladder_rbns_cohort,none,10,-34.2171522385318,2.7350629402826,34.315390419947704,-34.39214859160131,34.55924078456253
S-B,chain_ladder_total,none,10,-34.063212284882376,2.19356611844747,34.12671959402723,,
S-B,random_forest__multi_step__log1p__two_stage,cv_dy,10,0.9368866200203797,7.488582093042118,7.1658029645379715,0.515122345226293,5.544855572994119
S-B,random_forest__multi_step__log1p__two_stage,cv_dy_bs1,10,-0.05312829358032012,7.356020742154644,6.978736250832752,-0.4700229678852489,5.4240680550912534
S-B,random_forest__multi_step__log1p__two_stage,cv_dy_bsmean,10,1.2469038208799357,7.289616886679558,7.027050025268951,0.8281269342563565,5.420755317313942
S-B,random_forest__multi_step__log1p__two_stage,cv_dy_heur,10,1.0024442705992525,7.5274814528714415,7.211211676039503,0.5799724220814817,5.582373239416732
S-B,random_forest__multi_step__log1p__two_stage,cv_dy_zcv,10,-1.4348705177454637,7.667218578430042,7.413937554307808,-1.8488599513120874,6.037705259329032
S-B,random_forest__multi_step__log1p__two_stage,cv_global,10,0.9368866200203797,7.488582093042118,7.1658029645379715,0.515122345226293,5.544855572994119
S-B,random_forest__multi_step__log1p__two_stage,cv_type,10,5.52631595958108,7.592660653051825,9.078756208770105,5.101380903220757,7.723715664168204
S-B,random_forest__multi_step__log1p__two_stage,cv_type_bs1,10,2.961415637333716,7.397386292024596,7.617031845485137,2.539642455700842,6.061322003208516
S-B,random_forest__multi_step__log1p__two_stage,duan,10,8.914118598348836,9.18163682569656,12.463294897598994,8.495573114026772,11.500810238808134
S-B,random_forest__multi_step__log1p__two_stage,insample_global,10,1.084988690095058,6.286268362482215,6.061571858046766,0.6998318973260125,4.867941172469797
S-B,random_forest__multi_step__log1p__two_stage,iso_global,10,3.827329558442514,7.005349774271764,7.669151482584517,3.409503283567722,6.1677468087515255
S-B,random_forest__multi_step__log1p__two_stage,none,10,-42.6223100616075,4.376295543276375,42.82403625771044,-42.85691329616622,42.99006516217516
