scenario,seed,dy,n,alpha_hat,se,alpha_0,se_alpha_0,n_pool,cover
S-B,seed05,10,2043,0.2702294428869501,0.09414534682060391,0.4323712164617328,0.023374213829505903,19579,1.0
S-B,seed06,1,19052,1.559236185774367,0.03570450111450378,1.512426277400761,0.0030676275146858424,190163,1.0
S-B,seed06,2,17738,1.3012207552466408,0.050798063403443026,1.2430036228878367,0.003906188743953034,177676,1.0
S-B,seed06,3,15848,1.0434801889476903,0.04297281414882827,1.0468356887999262,0.005125832939800396,159581,1.0
S-B,seed06,4,13914,1.1074859611733177,0.08592674501239343,0.9518700072195705,0.006725470952215712,139747,1.0
S-B,seed06,5,11913,0.908435627913605,0.05563627144748534,0.8713604527676473,0.008114683503376947,120084,1.0
S-B,seed06,6,9943,0.7649652311794833,0.06839430130064313,0.787205506935779,0.00940801594314051,99822,1.0
S-B,seed06,7,7960,0.6527261842603755,0.0829365192495853,0.6855268768058888,0.01066816152569502,79816,1.0
S-B,seed06,8,6020,0.5093310265095103,0.06281346346519602,0.604031262508355,0.012585708026816668,59683,1.0
S-B,seed06,9,4027,0.38609099868724195,0.08987203537990245,0.508622724145059,0.014863333129641247,39812,1.0
S-B,seed06,10,2005,0.35235229056108514,0.1154326133902118,0.4323712164617328,0.023374213829505903,19579,1.0
S-B,seed07,1,19221,1.4953390013420216,0.027821972365219234,1.512426277400761,0.0030676275146858424,190163,1.0
S-B,seed07,2,17987,1.2801041797490864,0.0374961971568789,1.2430036228878367,0.003906188743953034,177676,1.0
S-B,seed07,3,16084,1.0705354476196112,0.04366260237971518,1.0468356887999262,0.005125832939800396,159581,1.0
S-B,seed07,4,14073,0.9052227993069878,0.0468205949438299,0.9518700072195705,0.006725470952215712,139747,1.0
S-B,seed07,5,12015,0.8060497472036927,0.05452360155826346,0.8713604527676473,0.008114683503376947,120084,1.0
S-B,seed07,6,10022,0.8284715060280385,0.07742550492349322,0.787205506935779,0.00940801594314051,99822,1.0
S-B,seed07,7,7969,0.6810983679695829,0.07727474842632082,0.6855268768058888,0.01066816152569502,79816,1.0
S-B,seed07,8,5991,0.8079237617373437,0.18215251464075197,0.604031262508355,0.012585708026816668,59683,1.0
S-B,seed07,9,3990,0.5214203010370034,0.10737429459448493,0.508622724145059,0.014863333129641247,39812,1.0
S-B,seed07,10,2016,0.15432118861151378,0.05248253651962605,0.4323712164617328,0.023374213829505903,19579,0.0
S-B,seed08,1,19055,1.5370516072312777,0.03311554417835438,1.512426277400761,0.0030676275146858424,190163,1.0
S-B,seed08,2,17710,1.2460330262397419,0.0345058548263608,1.2430036228878367,0.003906188743953034,177676,1.0
S-B,seed08,3,15890,1.0818565070212844,0.0434752022990351,1.0468356887999262,0.005125832939800396,159581,1.0
S-B,seed08,4,13914,1.045572380254513,0.05516912983797317,0.9518700072195705,0.006725470952215712,139747,1.0
S-B,seed08,5,11960,0.988198061086244,0.06417114623857062,0.8713604527676473,0.008114683503376947,120084,1.0
S-B,seed08,6,10039,0.797103790543719,0.07918818378639488,0.787205506935779,0.00940801594314051,99822,1.0
S-B,seed08,7,8031,0.8331411345146447,0.14721655210251686,0.6855268768058888,0.01066816152569502,79816,1.0
S-B,seed08,8,6057,0.5846618496489719,0.08475658892010482,0.604031262508355,0.012585708026816668,59683,1.0
S-B,seed08,9,4051,0.36754769637846063,0.0703940453035661,0.508622724145059,0.014863333129641247,39812,0.0
S-B,seed08,10,1976,0.8172536383728216,0.6289989460337347,0.4323712164617328,0.023374213829505903,19579,1.0
S-B,seed09,1,19119,1.51779766887403,0.031474581859639826,1.512426277400761,0.0030676275146858424,190163,1.0
S-B,seed09,2,17950,1.3083928994038543,0.04347336063688345,1.2430036228878367,0.003906188743953034,177676,1.0
S-B,seed09,3,16084,1.056018713520741,0.04082125164420937,1.0468356887999262,0.005125832939800396,159581,1.0
S-B,seed09,4,14081,0.9508110880632242,0.06083022924816609,0.9518700072195705,0.006725470952215712,139747,1.0
S-B,seed09,5,12078,0.8655214659246128,0.05336694808812346,0.8713604527676473,0.008114683503376947,120084,1.0
S-B,seed09,6,10018,0.7880567941820422,0.06511973959858677,0.787205506935779,0.00940801594314051,99822,1.0
S-B,seed09,7,8078,0.6240691786536935,0.056654664406670247,0.6855268768058888,0.01066816152569502,79816,1.0
S-B,seed09,8,6103,0.763583294360805,0.147073756256915,0.604031262508355,0.012585708026816668,59683,1.0
