scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-B,random_forest_poisson__per_dy__raw__two_stage,cv_global,10,-31.830305730108442,6.242176746078197,32.376483075660424,-31.992302529410335,32.66503883500082
S-B,random_forest_poisson__per_dy__raw__two_stage,cv_type,10,-29.63074956647686,7.386230990243996,30.448022715578517,-29.800018478067397,30.752579067032865
S-B,random_forest_poisson__per_dy__raw__two_stage,cv_type_bs1,10,-30.879740881370633,6.740501980884699,31.534890631798174,-31.054097806728272,31.816136438654215
S-B,random_forest_poisson__per_dy__raw__two_stage,duan,10,-33.012871712195626,5.648305795318605,33.44492070864532,-33.18217788584351,33.71313669889125
S-B,random_forest_poisson__per_dy__raw__two_stage,insample_global,10,-33.48602030926831,5.437662278850134,33.88104056999543,-33.6491292998616,34.15043796486337
S-B,random_forest_poisson__per_dy__raw__two_stage,iso_global,10,-30.606127377778467,6.988283578299962,31.31593092498551,-30.773155407317137,31.614478540994426
S-B,random_forest_poisson__per_dy__raw__two_stage,none,10,-33.012871712195626,5.648305795318605,33.44492070864532,-33.18217788584351,33.71313669889125
S-B,random_forest_poisson__per_dy__raw__two_stage,paper,10,-33.012871712195626,5.648305795318605,33.44492070864532,-33.18217788584351,33.71313669889125
S-B,random_forest_poisson__per_dy__raw__two_stage,shift_dy_bs1,10,-33.083702741867484,5.59722862413686,33.50712548930483,-33.25828894882329,33.767582877259784
S-B,random_forest_poisson__per_dy__raw__two_stage,shift_global,10,-31.830565251571368,6.2412040390723496,32.3765694493123,-31.992588066864677,32.66508367010322
S-B,random_forest_poisson__single_model__raw__two_stage,cv_dy,10,-18.576040694337298,8.128852485920234,20.113172458409977,-18.852875055403427,20.285790045028012
S-B,random_forest_poisson__single_model__raw__two_stage,cv_dy_bs1,10,-14.62910247038769,7.788135927409757,16.389026639508913,-14.904194106361109,16.604534373933163
S-B,random_forest_poisson__single_model__raw__two_stage,cv_dy_bsmean,10,-15.670574103951768,7.766197937186097,17.316158353025127,-15.92313156025676,17.61841008927955
S-B,random_forest_poisson__single_model__raw__two_stage,cv_dy_heur,10,-14.592936160193753,9.062679842780115,16.93731782529188,-14.927030543056304,16.88433048897616
S-B,random_forest_poisson__single_model__raw__two_stage,cv_dy_zcv,10,-9.449293633763151,10.382114273856056,13.649125147530222,-9.804026556753646,13.397550543289995
S-B,random_forest_poisson__single_model__raw__two_stage,cv_global,10,-8.224278941371054,9.623109273557356,12.287496611890578,-8.573706949816728,12.03016063034595
S-B,random_forest_poisson__single_model__raw__two_stage,cv_type,10,-7.946953861510627,9.315094643774863,11.884778713851324,-8.29269566852913,11.64504802973501
S-B,random_forest_poisson__single_model__raw__two_stage,cv_type_bs1,10,-8.366467843682049,9.818469969989266,12.520379446158518,-8.723317969565665,12.21793299840796
