name,level,group,n,n_eff,K_eff,alpha_cv,s2,v_cv,v_cv_fold,v_cv_delta,v_cv_delta_cl,n_clusters,alpha_shift,v_shift,Z_heur,factor_cv_heur,Z_bs1,a_bs1,factor_cv_bs1,Z_bsmean,a_bsmean,theta_bsmean,factor_cv_bsmean,Z_shift_bs1,a_shift_bs1,factor_shift_bs1,Z_bs1_cl,a_bs1_cl,factor_cv_bs1_cl,Z_zcv,factor_cv_zcv,dev_lag,duan_S,isotonic,has_record,n_estimators_cap
random_forest__per_dy__log1p__two_stage,type,Bodily,2385.0,647.0,7.0,3.677672901564487,1.8370290199531296,0.1191345094383048,0.2624327171361613,0.1191345094383048,0.1191345094383048,2385.0,3.677296691500523,0.1191003350100332,0.5446127946127947,2.458294921979986,0.979225085297308,5.615402124922316,3.6220444754327743,0.8803124673007054,0.8762449319411147,3.010159918630373,3.5977799195923565,0.9792089520577444,5.609342759384232,3.621632887631894,0.979225085297308,5.615402124922316,3.6220444754327743,,,4.0,,,,
random_forest__per_dy__log1p__two_stage,type,Material,16165.0,858.0,7.0,1.644679739481105,0.0841832371880954,0.0071944919759409,0.0120261767411564,0.0071944919759409,0.0071944919759409,16165.0,1.6441783887158026,0.0071832814201786,1.0,1.644679739481105,0.9987204324858876,5.615402124922316,1.6438548282294585,0.9918562701854062,0.8762449319411147,3.010159918630373,1.6557998411272798,0.9987210454704576,5.609342759384232,1.6433545138477212,0.9987204324858876,5.615402124922316,1.6438548282294585,,,4.0,,,,
random_forest__per_dy__log1p__two_stage,type,Technical,2602.0,350.0,7.0,4.319241049047524,14.064447395405908,1.6399496047078752,2.0092067707722725,1.6399496047078752,1.6399496047078752,2602.0,4.31543885238675,1.6362569652615528,0.0711093051605038,1.2360289246579914,0.7739669052831069,5.615402124922316,3.5689827226199653,0.3482421248351002,0.8762449319411147,3.010159918630373,3.4660371130683765,0.7741723214855697,5.609342759384232,3.566720993095703,0.7739669052831069,5.615402124922316,3.5689827226199653,,,4.0,,,,
random_forest__per_dy__log1p__two_stage,arms,4,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.4019658749845187,True,True,100.0
random_forest__per_dy__log1p__two_stage,type,__global__,17162.0,753.0,6.0,4.103571327799334,8.642362061732811,0.7044393698537676,1.4403936769554686,0.7044393698537676,0.7044393698537676,17162.0,4.1004613156007474,0.7030444277656673,0.11572153065929,,,,,,,,,,,,,,,,,5.0,,,,
random_forest__per_dy__log1p__two_stage,type,Annuity,61.0,49.0,6.0,8.692152417712334,108.08569745735278,12.758664685893736,18.014282909558798,12.758664685893736,12.758664685893732,61.0,8.692024220814025,12.758231756433574,0.0092522658610271,1.0711698392122175,0.5534361873815795,15.81208897881432,5.257115506816714,0.3067086245456873,5.6443692153040175,3.720062870589154,5.245045616705294,0.5532404357882381,15.799034340249769,5.255538832016834,0.5534361873815797,15.81208897881432,5.257115506816715,,,5.0,,,,
random_forest__per_dy__log1p__two_stage,type,Bodily,1977.0,281.0,6.0,3.506944413630097,2.317375599404053,0.6595995555613784,0.3862292665673421,0.6595995555613784,0.6595995555613784,1977.0,3.5062067340420286,0.6592121281238306,0.4316436251920122,2.0821065748541585,0.9599555592503572,15.81208897881432,3.406555226595839,0.8953675724712021,5.6443692153040175,3.720062870589154,3.5292435151329147,0.9599463934757216,15.799034340249769,3.4058241156482123,0.9599555592503572,15.81208897881432,3.406555226595839,,,5.0,,,,
random_forest__per_dy__log1p__two_stage,type,Material,13107.0,257.0,6.0,1.7193029118433294,0.618183933153202,0.0336224799724528,0.1030306555255336,0.0336224799724528,0.0336224799724528,13107.0,1.7176727866013075,0.0334706601531118,1.0,1.7193029118433294,0.99787813377393,15.81208897881432,1.717776647288375,0.9940784555918912,5.6443692153040175,3.720062870589154,1.7311505007890091,0.9978859529712916,15.799034340249769,1.7161555925792082,0.99787813377393,15.81208897881432,1.717776647288375,,,5.0,,,,
random_forest__per_dy__log1p__two_stage,type,Technical,1975.0,165.0,6.0,4.846965488068656,13.860942939582705,4.070276619041612,2.3101571565971173,4.070276619041612,4.070276619041612,1975.0,4.8389508315389556,4.053854617239353,0.0721469173589855,1.277546701150559,0.795282075515172,15.81208897881432,4.059422697786477,0.5810164684901472,5.6443692153040175,3.720062870589154,4.374811849729397,0.7958053044108669,15.799034340249769,4.055057435111209,0.795282075515172,15.81208897881432,4.059422697786477,,,5.0,,,,
random_forest__per_dy__log1p__two_stage,arms,5,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.6137417644067433,True,True,100.0
