name,level,group,n,n_eff,K_eff,alpha_cv,s2,v_cv,v_cv_fold,v_cv_delta,v_cv_delta_cl,n_clusters,alpha_shift,v_shift,Z_heur,factor_cv_heur,Z_bs1,a_bs1,factor_cv_bs1,Z_bsmean,a_bsmean,theta_bsmean,factor_cv_bsmean,Z_shift_bs1,a_shift_bs1,factor_shift_bs1,Z_bs1_cl,a_bs1_cl,factor_cv_bs1_cl,Z_zcv,factor_cv_zcv,dev_lag,duan_S,isotonic,has_record,n_estimators_cap
hgb_gamma__per_dy__raw__two_stage,type,Annuity,61.0,49.0,3.0,2.9188267489137756,8.423917333957023,1.4056236256527392,2.807972444652341,1.4056236256527392,1.4056236256527397,61.0,2.9188160102265694,1.4056073404534306,0.1189320388349514,1.228209977419357,0.3394089746578801,0.7222036861469743,1.6512670193949384,0.1719965508985424,0.2919823772909806,1.5601483600875297,1.7938363567460327,0.3393628652663512,0.7220468081740665,1.6511748991494368,0.33940897465788,0.7222036861469742,1.651267019394938,,,5.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Bodily,1977.0,281.0,3.0,1.677926353109353,0.5618971162959268,0.1513188808621164,0.1872990387653089,0.1513188808621164,0.1513188808621164,1977.0,1.6778308942488178,0.1512757011575555,1.0,1.677926353109353,0.8267716409660408,0.7222036861469743,1.5604902834143433,0.6586545197445448,0.2919823772909806,1.5601483600875297,1.637723367517795,0.8267814014397373,0.7220468081740665,1.560417976686188,0.8267716409660408,0.7222036861469742,1.5604902834143433,,,5.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Material,13107.0,257.0,3.0,1.0955617851697157,0.1180618939086845,0.0145583561284939,0.0393539646362281,0.0145583561284939,0.0145583561284939,13107.0,1.0954236719992745,0.0145160450191692,1.0,1.0955617851697157,0.980240083917012,0.7222036861469743,1.0936734923140214,0.9525075967356934,0.2919823772909806,1.5601483600875297,1.1176261181368954,0.9802921842226532,0.7220468081740665,1.0935430798507149,0.980240083917012,0.7222036861469742,1.0936734923140214,,,5.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Technical,1975.0,165.0,3.0,2.0186673462180784,1.8995467402561703,0.7279798423917146,0.6331822467520568,0.7279798423917146,0.7279798423917146,1975.0,2.0177823893013014,0.7267099521232316,0.5271565495207667,1.5369971633417985,0.4980084740548113,0.7222036861469743,1.5073049706595294,0.286267835863386,0.2919823772909806,1.5601483600875297,1.6914075979493957,0.4983906394513706,0.7220468081740665,1.5072532158262195,0.4980084740548112,0.7222036861469742,1.5073049706595292,,,5.0,,,,
hgb_gamma__per_dy__raw__two_stage,arms,5,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,True,True,100.0
hgb_gamma__per_dy__raw__two_stage,type,__global__,12899.0,236.0,3.0,1.2141336945872403,0.1939952258446529,0.1811931003780457,0.0646650752815509,0.1811931003780457,0.1811931003780457,12899.0,1.214056888206844,0.1810633809245001,1.0,,,,,,,,,,,,,,,,,6.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Annuity,50.0,38.0,3.0,5.001615772674792,13.721922997373952,4.979500413171267,4.573974332457984,4.979500413171267,4.979500413171268,50.0,5.001585301925881,4.979424484336959,0.072936660268714,1.2918644901375087,0.3765577616508411,3.0076074644674264,2.5068394783451207,0.4688930226786882,4.396200953596399,1.0310867280074671,2.892840093395053,0.3765168434523363,3.0070374305428453,2.506664266686397,0.3765577616508411,3.0076074644674264,2.5068394783451207,,,6.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Bodily,1559.0,99.0,3.0,0.2606258238060917,0.0024512037925707,0.0035687447044903,0.0008170679308569,0.0035687447044903,0.0035687447044903,1559.0,0.2606939692947131,0.0035680485704772,1.0,0.5,0.9988148336541648,3.0076074644674264,0.2615021051966963,0.9991888792029572,4.396200953596399,1.0310867280074671,0.2612507606687978,0.9988148402056558,3.0070374305428453,0.2615701650780212,0.9988148336541648,3.0076074644674264,0.2615021051966963,,,6.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Material,9842.0,52.0,3.0,0.2615071301618294,0.0125451590960991,0.0044832865156407,0.0041817196986997,0.0044832865156407,0.0044832865156407,9842.0,0.2629077671851337,0.0044623133454381,1.0,0.5,0.998511569907322,3.0076074644674264,0.2626063251725248,0.9989812296745184,4.396200953596399,1.0310867280074671,0.2622911550192107,0.9985182421633956,3.0070374305428453,0.2639999593774074,0.998511569907322,3.0076074644674264,0.2626063251725248,,,6.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Technical,1411.0,47.0,3.0,0.6947210706826272,0.2382134122825959,0.1801876057679651,0.0794044707608653,0.1801876057679651,0.180187605767965,1411.0,0.6947804048801935,0.1801177281232987,0.94,0.7130378064416696,0.9434757875591232,3.0076074644674264,0.7119767217370858,0.9606266811852636,4.396200953596399,1.0310867280074671,0.7079649029468065,0.9434863634945592,3.0070374305428453,0.7120294741331321,0.9434757875591232,3.0076074644674264,0.7119767217370858,,,6.0,,,,
hgb_gamma__per_dy__raw__two_stage,arms,6,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,True,True,100.0
hgb_gamma__per_dy__raw__two_stage,type,__global__,9190.0,82.0,3.0,1.2885238842403657,0.3021723283807093,0.1425671897218807,0.1007241094602364,0.1425671897218807,0.1425671897218807,9190.0,1.288370413712232,0.1424160557634046,1.0,,,,,,,,,,,,,,,,,7.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Annuity,41.0,29.0,3.0,1.8859528644064296,2.2194173528531023,0.3584857557469691,0.7398057842843674,0.3584857557469691,0.3584857557469691,41.0,1.8859495078265731,0.358482988102795,0.453125,1.4014473916841634,0.5248673023238607,0.3960103197711185,1.4650076899270998,0.5804007293592477,0.4958669107854123,0.6160289955175436,1.3530937352513706,0.5240949219892624,0.3947827463189479,1.4643216381907935,0.5248673023238607,0.3960103197711185,1.4650076899270998,,,7.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Bodily,1094.0,25.0,3.0,0.2197383543700496,0.0525619348779795,0.008077529642632,0.0175206449593265,0.008077529642632,0.008077529642632,1094.0,0.2199422054516049,0.0080753635027396,0.5,0.6098691771850249,0.9800104614520062,0.3960103197711185,0.2353354246128906,0.9839713885209824,0.4958669107854123,0.6160289955175436,0.2260903430897736,0.9799548195608772,0.3947827463189479,0.2355786046962716,0.9800104614520062,0.3960103197711185,0.2353354246128906,,,7.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Material,7013.0,15.0,3.0,0.4448126267103093,0.483064099108488,0.0432879345473933,0.161021366369496,0.0432879345473933,0.0432879345473933,7013.0,0.449164249424534,0.0426374703237688,0.3,0.8334437880130928,0.9014611733102686,0.3960103197711185,0.4995201390672293,0.9197114986128466,0.4958669107854123,0.6160289955175436,0.4585593323747923,0.902525149269461,0.3947827463189479,0.502856881988922,0.9014611733102686,0.3960103197711185,0.4995201390672293,,,7.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Technical,1017.0,13.0,3.0,0.4006297916150715,0.2843087805038269,0.0673058807293457,0.0947695935012756,0.0673058807293457,0.0673058807293457,1017.0,0.4010935329887772,0.0671788663886596,0.26,0.8441637458199186,0.8547301375245602,0.3960103197711185,0.4877002193590258,0.8804880460430021,0.4958669107854123,0.6160289955175436,0.4263725713542378,0.8545791153621684,0.3947827463189479,0.4881870412368676,0.8547301375245602,0.3960103197711185,0.4877002193590258,,,7.0,,,,
hgb_gamma__per_dy__raw__two_stage,arms,7,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,True,True,100.0
hgb_gamma__per_dy__raw__two_stage,type,__global__,5691.0,20.0,3.0,1.20739679835708,1.250003200303326,0.1247934101682073,0.4166677334344419,0.1247934101682073,0.1247934101682072,5691.0,1.20644480015578,0.1236442299449145,0.4,,,,,,,,,,,,,,,,,8.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Annuity,24.0,13.0,3.0,1.929133618244294,3.0790766465887653,0.3859922105492066,1.026358882196255,0.3859922105492066,0.3859922105492065,24.0,1.9291004591619587,0.3859624215892195,0.26,1.2415747407435165,0.5528819606070903,0.4772970700025267,1.513701216520865,0.0,0.0,1.9291336182442944,1.9291336182442944,0.5528845540563886,0.4772652416257429,1.5136852930373454,0.5528819606070904,0.4772970700025268,1.513701216520865,,,8.0,,,,
hgb_gamma__per_dy__raw__two_stage,arms,8,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,True,True,100.0
hgb_gamma__per_dy__raw__two_stage,type,__global__,2698.0,9.0,2.0,1.3157272435272434,0.026518663695945,0.2694638991935769,0.0132593318479725,0.2694638991935769,0.2694638991935769,2698.0,1.3122396740097226,0.2636388765110717,0.18,,,,,,,,,,,,,,,,,9.0,,,,
hgb_gamma__per_dy__raw__two_stage,arms,9,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,False,True,100.0
hgb_gamma__per_dy__raw__two_stage,arms,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,False,False,
hgb_gamma__single_model__raw__two_stage,dy,__global__,149083.0,33872.0,3.0,1.2062570823560856,0.007209865081514,0.0004633421719061,0.0024032883605046,0.0004633421719061,0.000635522578879,32631.0,1.20623633652029,0.0004632490138109,1.0,,,,,,,,,,,,,,,0.8,1.1650056658848684,,,,,
hgb_gamma__single_model__raw__two_stage,dy,1,24771.0,9850.0,3.0,1.104165642441262,0.0087242595123531,0.0004185826312032,0.0029080865041177,0.0004185826312032,0.0004185826312032,24771.0,1.1041583047324663,0.0004185235801052,1.0,1.104165642441262,0.9993573280014388,0.650897535295697,1.104098698099653,0.9990838301119368,0.4564646184616464,1.3572650367022758,1.104397524484971,0.9993563211593888,0.6497870660705667,1.104091260235636,0.9993573280014388,0.650897535295697,1.104098698099653,0.8,1.0833325139530097,,,,,
hgb_gamma__single_model__raw__two_stage,dy,2,28988.0,16192.0,3.0,1.1287432772757455,0.011920177447363,0.0005199495004513,0.0039733924824543,0.0005199495004513,0.0005199495004513,28988.0,1.1287381500049427,0.0005199080736838,1.0,1.1287432772757455,0.999201818322985,0.650897535295697,1.1286405167507851,0.9988622165015986,0.4564646184616464,1.3572650367022758,1.1290032855626466,0.9992005189943288,0.6497870660705667,1.1286352262993085,0.999201818322985,0.650897535295697,1.1286405167507851,0.8,1.1029946218205964,,,,,
hgb_gamma__single_model__raw__two_stage,dy,3,25377.0,4799.0,3.0,1.2453673492385766,0.0012349808886068,0.0020817695776258,0.0004116602962022,0.0020817695776258,0.0020817695776258,25377.0,1.2453414584895677,0.0020813309133401,1.0,1.2453673492385766,0.996811890419667,0.650897535295697,1.2445850912417682,0.995460067657435,0.4564646184616464,1.3572650367022758,1.2458753571689514,0.9968071302076152,0.6497870660705667,1.2445581151579368,0.996811890419667,0.650897535295697,1.2445850912417682,0.8,1.1962938793908613,,,,,
hgb_gamma__single_model__raw__two_stage,dy,4,21277.0,1929.0,3.0,1.477326920474538,0.099763986301341,0.0090423863547862,0.033254662100447,0.0090423863547862,0.0090423863547862,21277.0,1.477220167283495,0.0090382944023014,1.0,1.477326920474538,0.986298167366248,0.650897535295697,1.4707866668986118,0.9805751873522246,0.4564646184616464,1.3572650367022758,1.4749947408761228,0.9862811984107378,0.6497870660705667,1.4706732784941383,0.986298167366248,0.650897535295697,1.4707866668986118,0.8,1.3818615363796305,,,,,
hgb_gamma__single_model__raw__two_stage,dy,5,17162.0,753.0,3.0,1.9375306763076,0.9765709564278172,0.160074207685838,0.3255236521426057,0.160074207685838,0.160074207685838,17162.0,1.9370868610538163,0.159921483897538,1.0,1.9375306763076,0.8026143215578317,0.650897535295697,1.7524755477042795,0.740366379379413,0.4564646184616464,1.3572650367022758,1.7868742073751491,0.802495004030972,0.6497870660705667,1.7520075243387532,0.8026143215578317,0.650897535295697,1.7524755477042795,0.8,1.7500245410460802,,,,,
hgb_gamma__single_model__raw__two_stage,dy,6,12899.0,236.0,3.0,2.6796273335838934,2.021101766319489,0.8767695953815827,0.6737005887731629,0.8767695953815827,0.8767695953815826,12899.0,2.6782982719360007,0.8753544894427204,0.4957983193277311,1.8327564090878128,0.4260728808160757,0.650897535295697,1.7156436567175133,0.3423739157922035,0.4564646184616464,1.3572650367022758,1.8100073943816075,0.426050331998121,0.6497870660705667,1.715039535950206,0.4260728808160757,0.650897535295697,1.7156436567175133,0.8,2.343701866867115,,,,,
hgb_gamma__single_model__raw__two_stage,dy,7,9190.0,82.0,2.0,2.567839644863823,1.625993684950815,0.5769582255226108,0.8129968424754075,0.5769582255226108,0.5769582255226109,9190.0,2.566178563181583,0.5757217334974349,0.6165413533834586,1.9666379765325828,0.530109118730611,0.650897535295697,1.8311260924496755,0.4417016917313278,0.4564646184616464,1.3572650367022758,1.8919778890942207,0.5302181969640856,0.6497870660705667,1.8304163738939412,0.530109118730611,0.650897535295697,1.8311260924496755,0.8,2.2542717158910586,,,,,
