scenario,dy,family,param,predictor,alpha_P,alpha_Q,discrepancy,cov_rho_r,identity_residual,E_Ptilde_rho,chi,sd_r,chi_bound,tv,range_r,tv_bound,ratio_chi_bound,ratio_tv_bound,rel_err_P_factor,r_min,r_max,support_P,support_Q
S-A,5,type-mix shift eps,0.25,f1,0.856988795624219,0.943647257532863,0.08665846190864401,0.08665846190864425,-2.3592239273284576e-16,0.9999999999999999,0.1331398063106876,0.669374345799824,0.08912037074913179,0.06169309456861325,1.8170537238469566,0.11209966722154116,1.0284093299865296,1.2935801623125673,-0.09183353336416189,0.01386406195859039,1.830917785805547,36,36
S-A,5,type-mix shift eps,0.5,f1,0.856988795624219,1.004540510083193,0.14755171445897397,0.14755171445897408,-1.1102230246251565e-16,1.0,0.22669461528855137,0.669374345799824,0.15174355980511686,0.10504365844243631,1.8170537238469566,0.1908699707393367,1.0284093299865276,1.2935801623125645,-0.14688478262240934,0.01386406195859039,1.830917785805547,36,36
S-A,5,type-mix shift eps,1.0,f1,0.856988795624219,1.0844605457085115,0.22747175008429243,0.2274717500842927,-2.7755575615628914e-16,0.9999999999999999,0.34948167876903957,0.669374345799824,0.2339340700950501,0.16193959459414747,1.8170537238469566,0.2942529433955621,1.0284093299865278,1.2935801623125645,-0.2097556715958515,0.01386406195859039,1.830917785805547,36,36
S-A,5,type-mix shift eps,2.0,f1,0.856988795624219,1.1689445297758496,0.3119557341516306,0.3119557341516306,0.0,1.0000000000000002,0.47928067389704526,0.669374345799824,0.32081818754433344,0.22208465491259718,1.8170537238469566,0.403539749218201,1.0284093299865267,1.293580162312563,-0.26686957867149563,0.01386406195859039,1.830917785805547,36,36
S-A,5,reporting-delay scale,0.5,f1,0.856988795624219,0.8330687199478417,-0.023920075676377328,-0.023920075676377085,-2.42861286636753e-16,1.0000000000000002,0.43233725583774496,0.669374345799824,0.28939546779128167,0.1767577283534256,1.8170537238469566,0.32117828852332075,12.09843445759158,13.427143495223376,0.02871320829075774,0.01386406195859039,1.830917785805547,36,36
S-A,5,reporting-delay scale,1.5,f1,0.856988795624219,0.8773168323547004,0.020328036730481336,0.020328036730481645,-3.0878077872387166e-16,1.0,0.4628135913688458,0.669374345799824,0.3097955449497882,0.12547652178501584,1.8170537238469566,0.2279975811648268,15.23981627233378,11.215917414343838,-0.023170690428817253,0.01386406195859039,1.830917785805547,36,36
S-A,5,reporting-delay scale,2.0,f1,0.856988795624219,0.8932824487774618,0.03629365315324273,0.03629365315324283,-9.71445146547012e-17,1.0000000000000002,1.5606305325464045,0.669374345799824,1.0446460417584804,0.2148779360003767,1.8170537238469566,0.39044475378203247,28.783160442617067,10.757934786378685,-0.04062953795063795,0.01386406195859039,1.830917785805547,36,36
S-A,5,generator lower triangle,,f2,4.745485969503238,5.3665129085443155,0.6210269390410774,0.6210269390410791,-1.6653345369377348e-15,0.9999999999999999,0.3318645316505331,24.114862998391377,8.002867714777924,0.1211344951750869,645.9934977061349,78.25209623102131,12.886506545328109,126.00435071600876,-0.11572262093179853,2.2385469629047114,648.2320446690396,36,32
S-B,5,generator lower triangle,,f2,4.6260924319167,4.824474084912557,0.19838165299585775,0.19838165299585633,1.4155343563970746e-15,1.0000000000000002,0.3676452963013408,22.97118706994073,8.445248876721887,0.13832453588913488,645.9934977061349,89.35675075760003,42.57071533171581,450.4285018709155,-0.04111985047577538,2.2385469629047114,648.2320446690396,36,32
S-A,5,type-mix shift eps,0.25,f2,4.745485969503238,4.4742633534358225,-0.2712226160674156,-0.271222616067415,-6.106226635438361e-16,0.9999999999999999,0.016132146120469915,24.114862998391377,0.38902449356516294,0.0012116225517493212,645.9934977061349,0.7827002901041765,1.4343364841981552,2.8858223604392457,0.06061838444514933,2.2385469629047114,648.2320446690396,36,36
