scenario,dy,design,predictor,n,reps,n_all_zero_Y,alpha_n,alpha_P,V_n,mean_alpha_hat,sd_alpha_hat,coverage_alpha_n,coverage_alpha_n_Vn,coverage_alpha_P,mean_se_plugin,se_Vn,se_over_sd,sd_sqrtn_over_sqrtVn,bias_rel,misses_below,misses_above,mu_Y_folds,m_folds
S-A,3,blocks,f2,15000,2000,0,5.0803958425833,5.080395842583299,1045.8676825304763,5.078098032833845,0.26440664902101874,0.943,0.9495,0.943,0.26189470816245797,0.2640539947978413,0.9904997061614699,1.001335538299458,-0.0004522895106313374,84,30,2743.24;2743.24;2743.24,539.967;539.967;539.967
S-A,4,blocks,f1,600,2000,0,0.9196986540225316,0.9196986540225316,38.07299809925165,0.916771535728293,0.25870775793313366,0.8635,0.953,0.8635,0.2141119319369325,0.25190275272828216,0.8276208400069412,1.0270144138210024,-0.0031826928107768315,268,5,2180.45;2180.45;2180.45,2370.83;2370.83;2370.83
S-A,4,blocks,f2,600,2000,0,3.797344720135092,3.797344720135092,700.4556829606786,3.880789027274257,1.1479378445948376,0.8865,0.944,0.8865,0.9864967481101907,1.0804749595746297,0.8593642528253547,1.062438175380545,0.021974382967316363,223,4,2180.45;2180.45;2180.45,574.203;574.203;574.203
S-A,4,blocks,f1,3000,2000,0,0.9196986540225316,0.9196986540225316,38.07299809925165,0.9183304366092109,0.11322458116462661,0.916,0.949,0.916,0.1064775121298438,0.11265433576395191,0.9404098565401386,1.0050619037146475,-0.0014876801301561937,155,13,2180.45;2180.45;2180.45,2370.83;2370.83;2370.83
S-A,4,blocks,f2,3000,2000,0,3.797344720135092,3.797344720135092,700.4556829606786,3.8118294281163596,0.47813657712499646,0.939,0.946,0.939,0.4648292689247698,0.48320309151904184,0.9721683953144881,0.9895147310044772,0.0038144306216035284,115,7,2180.45;2180.45;2180.45,574.203;574.203;574.203
S-A,4,blocks,f1,15000,2000,0,0.9196986540225316,0.9196986540225316,38.07299809925165,0.9212162245932258,0.0517156507425225,0.9355,0.9455,0.9355,0.04953960671813045,0.05038055054565644,0.9579229112821968,1.0265003097903058,0.0016500737106189772,97,32,2180.45;2180.45;2180.45,2370.83;2370.83;2370.83
S-A,4,blocks,f2,15000,2000,0,3.797344720135092,3.797344720135092,700.4556829606786,3.809396590703351,0.22497391875609238,0.9395,0.939,0.9395,0.21365161157672513,0.21609499191492593,0.9496728009985796,1.0410880731778458,0.0031737625779285437,85,36,2180.45;2180.45;2180.45,574.203;574.203;574.203
S-B,1,random,f1,600,2000,0,1.5178988423395952,1.517898842339595,19.898333519347663,1.5164429408814848,0.1793338785650781,0.902,0.9575,0.902,0.1660030581131981,0.1821095527393134,0.9256647959741616,0.9847582176086686,-0.0009591557866045463,189,7,5880.41;5880.41;5880.41,3874.04;3874.04;3874.04
S-B,1,random,f2,600,2000,0,5.148116652994178,5.148116652994177,265.58331766131926,5.159889290182464,0.6614617893682667,0.915,0.9555,0.915,0.6201211242031847,0.665311102243804,0.9375010532285399,0.9942142662845167,0.0022867852424126333,159,11,5880.41;5880.41;5880.41,1142.24;1142.24;1142.24
S-B,1,random,f1,3000,2000,0,1.5178988423395952,1.517898842339595,19.898333519347663,1.5187177439998167,0.08280568206733704,0.9315,0.9515,0.9315,0.07896940070869803,0.08144186785543757,0.9536712787955858,1.0167458611622258,0.000539496860646773,116,21,5880.41;5880.41;5880.41,3874.04;3874.04;3874.04
S-B,1,random,f2,3000,2000,0,5.148116652994178,5.148116652994177,265.58331766131926,5.1563178000115695,0.3049111727979935,0.935,0.9495,0.935,0.2906497912195972,0.2975361701604917,0.9532277500770869,1.0247869112300656,0.0015930383031670192,106,24,5880.41;5880.41;5880.41,1142.24;1142.24;1142.24
S-B,1,random,f1,15000,2000,0,1.5178988423395952,1.517898842339595,19.898333519347663,1.5185117663303842,0.03701411326381522,0.9425,0.9455,0.9425,0.036216523679707936,0.03642191054786268,0.9784517441111577,1.016259518159387,0.00040379765350128755,86,29,5880.41;5880.41;5880.41,3874.04;3874.04;3874.04
S-B,1,random,f2,15000,2000,0,5.148116652994178,5.148116652994177,265.58331766131926,5.1506093592613285,0.13525301534077286,0.947,0.949,0.947,0.13260008015613942,0.13306222044876082,0.98038538972348,1.0164644396029425,0.00048419770474721616,77,29,5880.41;5880.41;5880.41,1142.24;1142.24;1142.24
S-B,2,random,f1,600,2000,0,1.2487190028238846,1.2487190028238846,25.66602054592596,1.2487696312923449,0.21734643752529526,0.8875,0.952,0.8875,0.18795579330634124,0.2068252907888119,0.8647751278852525,1.050869730178339,4.054432450036805e-05,220,5,4254.35;4254.35;4254.35,3406.97;3406.97;3406.97
S-B,2,random,f2,600,2000,0,6.164813039042878,6.164813039042878,946.1924352539875,6.337968672575942,1.434053213142527,0.9175,0.932,0.9175,1.2483270010426526,1.255781586140671,0.8704886189732937,1.141960695211123,0.02808773476769494,154,11,4254.35;4254.35;4254.35,690.102;690.102;690.102
S-B,2,random,f1,3000,2000,0,1.2487190028238846,1.2487190028238846,25.66602054592596,1.2525329895207513,0.09299515128688367,0.942,0.9505,0.942,0.09003970607868561,0.0924950819339889,0.9682193623291099,1.0054064426176914,0.0030543194171320184,99,17,4254.35;4254.35;4254.35,3406.97;3406.97;3406.97
S-B,2,random,f2,3000,2000,0,6.164813039042878,6.164813039042878,946.1924352539875,6.211980969945519,0.5729158573266515,0.9435,0.9475,0.9435,0.5589958664789881,0.5616025983006095,0.9757032543790688,1.0201445987968638,0.007651153506832746,87,26,4254.35;4254.35;4254.35,690.102;690.102;690.102
S-B,2,random,f1,15000,2000,0,1.2487190028238846,1.2487190028238846,25.66602054592596,1.250285444265528,0.04074413422488948,0.9495,0.956,0.9495,0.04098139703204691,0.04136505815776238,1.0058232384040324,0.9849891681402998,0.0012544386992598237,71,30,4254.35;4254.35;4254.35,3406.97;3406.97;3406.97
S-B,2,random,f2,15000,2000,0,6.164813039042878,6.164813039042878,946.1924352539875,6.176462017274212,0.24463467881573536,0.955,0.957,0.955,0.25049834020821465,0.25115631722813414,1.0239690522245863,0.97403354817281,0.0018895914859962779,63,27,4254.35;4254.35;4254.35,690.102;690.102;690.102
