kind,scenario,dy,group,n,empirical,analytic,se,z,quad_rel_err,expected_active,normal_approx_ok
"lower E[Y|c,k,r]",S-A,2.0,Bodily r=1,2407,14006.538495738228,14305.267401708466,600.5172255669437,-0.49745268453908265,,1602.8940991955312,True
"lower P(Y>0|c,k,r)",S-A,2.0,Bodily r=1,2407,0.6780224345658497,0.6659302447841842,0.009613796040623205,1.2577955399271836,,1602.8940991955312,True
"lower E[Y|c,k,r]",S-A,2.0,Annuity r=1,324,36466.737494559646,42097.26154705224,3761.5446120728407,-1.4968648874776564,,315.2937055210771,True
"lower P(Y>0|c,k,r)",S-A,2.0,Annuity r=1,324,0.9722222222222222,0.973128720744065,0.008983732487367488,-0.10090444290471089,,315.2937055210771,True
"lower P(c,r|k)",S-A,3.0,Material r=1,38715,0.7739377502260106,0.7701871770312148,0.002138186773951772,1.7540905408670526,,,
"lower P(c,r|k)",S-A,3.0,Technical r=1,38715,0.07020534676481983,0.07179591387044117,0.0013119943660828241,-1.212327694950577,,,
"lower P(c,r|k)",S-A,3.0,Technical r=2,38715,2.582978173834431e-05,4.568495339480249e-05,3.435081462192895e-05,-0.578011667990633,,,
"lower P(c,r|k)",S-A,3.0,Bodily r=1,38715,0.1225364845667054,0.12494919461899644,0.001680520184952587,-1.435692396850972,,,
"lower P(c,r|k)",S-A,3.0,Bodily r=2,38715,0.012294976107451892,0.011799927228865392,0.0005488105778869343,0.902039608078563,,,
"lower P(c,r|k)",S-A,3.0,Annuity r=1,38715,0.017021826165568903,0.017419399226634394,0.0006649072176554713,-0.5979376528162443,,,
"lower P(c,r|k)",S-A,3.0,Annuity r=2,38715,0.003977786387705024,0.003785219848582445,0.0003120918394753198,0.6170188219157423,,,
lower P(a|k),S-A,3.0,AY 9,38715,0.5094666150071032,0.5078241576263566,0.002540839271068936,0.6464231718425804,,,
lower P(a|k),S-A,3.0,AY 10,38715,0.49053338499289684,0.4921758423736434,0.0025408392710689356,-0.6464231718425805,,,
lower E[Y|k],S-A,3.0,all,38715,2221.9007123391866,2272.741636674166,75.9839439202021,-0.669100887792454,,,
lower E[oracle|k],S-A,3.0,all,38715,2249.1060702047616,2272.741636674166,40.24133754178205,-0.5873454490637579,,,
lower P(Y>0|k),S-A,3.0,all,38715,0.17099315510783933,0.17176643069996503,0.0019169285615336536,-0.40339301507774206,,,
"lower E[Y|c,k,r]",S-A,3.0,Material r=1,29963,120.6506369475584,121.29911007888214,4.132013430128377,-0.1569387762865023,,2927.1458145125116,True
"lower P(Y>0|c,k,r)",S-A,3.0,Material r=1,29963,0.09691953409204686,0.09769201366929797,0.0017151980896341877,-0.4503733894758865,,2927.1458145125116,True
"lower E[Y|c,k,r]",S-A,3.0,Technical r=1,2718,120.22048748798154,129.35169994958903,12.117355296372363,-0.753564803397417,,382.3259480269947,True
"lower P(Y>0|c,k,r)",S-A,3.0,Technical r=1,2718,0.13723325974981604,0.14066443797721412,0.006668817364615207,-0.5145107505273628,,382.3259480269947,True
"lower E[Y|c,k,r]",S-A,3.0,Bodily r=1,4744,8724.224161620086,8567.033893237654,317.92722085991704,0.4944221761108402,,2198.1401003303463,True
"lower P(Y>0|c,k,r)",S-A,3.0,Bodily r=1,4744,0.4732293423271501,0.4633516231725011,0.007239822426559171,1.3643593133462384,,2198.1401003303463,True
"lower E[Y|c,k,r]",S-A,3.0,Bodily r=2,476,13440.731522635608,14305.267401708466,1350.3925652805285,-0.6402107811466374,,316.98279651727165,True
"lower P(Y>0|c,k,r)",S-A,3.0,Bodily r=2,476,0.6491596638655462,0.6659302447841842,0.021618694926068736,-0.7757443719886739,,316.98279651727165,True
