scenario,dy,design,learner,n,reps,n_defined,n_undefined,alpha_inf,V_inf,mbar_inf,mean_alpha_hat,mean_alpha_n,mean_alpha_pop,coverage_alpha_n,coverage_alpha_n_V,coverage_alpha_inf,coverage_alpha_inf_V,coverage_alpha_pop,mean_se_plugin,se_V,sd_alpha_hat,sd_alpha_hat_minus_alpha_n,sd_alpha_hat_minus_alpha_inf,se_over_sd,sd_sqrtn_over_sqrtV,mean_sqrtn_centring_bias,sd_sqrtn_centring_bias,mean_sqrtn_centring_bias_rel,mean_rel_centring_bias,mean_gap_pop_minus_n_over_se,mean_gap_inf_minus_n_over_se,mean_alpha_hat_over_alpha_inf,frac_fallback_cells,misses_below_n,misses_above_n
S-A,5,random,log,3000,2000,2000,0,4.745485969503238,1525.1596303712322,381.0297386389841,4.0088874554343175,4.043226822142528,4.265314819427126,0.9135,0.927,0.599,0.718,0.832,0.6641380464164298,0.7130123024584339,0.9719014062762976,0.7860524312496164,0.9719014062762975,0.8449029861285782,1.1024388058093015,5112.154212818277,6312.7835897981595,13.41668036484132,0.2449539494220077,0.34587340067724276,1.5131103611610464,0.8447791187662013,0.0013883333333333334,146,27
S-A,5,random,raw,3000,2000,2000,0,1.0,57.39540078171208,1808.1712786747848,1.019683557869157,1.0391382415063233,1.0324765304136816,0.9065,0.9315,1.0,0.999,0.903,0.13495761147651383,0.13831775106822222,0.042329999341112506,0.1496530141188658,0.042329999341112506,0.9018034970503183,1.0819508917915583,-1815.6212832035012,14079.751656198014,-1.0041201874051315,-0.01833264256960351,-0.04911141694131791,-0.4178157929397148,1.019683557869157,0.0013883333333333334,181,6
S-A,5,random,log,15000,2000,2000,0,4.745485969503238,1525.1596303712322,381.0297386389841,4.458087879170429,4.462320893464041,4.563009055081218,0.9455,0.9465,0.6735,0.722,0.9005,0.31155704599344086,0.3188687954181398,0.4665474136692434,0.32471263038797776,0.46654741366924346,0.9594854552506376,1.0183267696739495,3564.681940180394,5538.594970359423,9.355390350667193,0.07638644234564002,0.3238246580584307,1.0880360884055416,0.9394375850693129,0.00023300000000000005,80,29
S-A,5,random,raw,15000,2000,2000,0,1.0,57.39540078171208,1808.1712786747848,1.0022558296356292,1.0055131907927233,1.0044688460870832,0.935,0.947,1.0,1.0,0.934,0.0613519410243711,0.061857578776687815,0.00927296866008702,0.06322990444746665,0.00927296866008702,0.9702994423365637,1.0221852471098662,-351.961434300188,13906.525071812086,-0.19465049492332487,-0.0015893146358078442,-0.017069321807569402,-0.17145504779154702,1.0022558296356292,0.00023300000000000005,112,18
S-A,6,random,log,600,2000,2000,0,7.195775473548889,5352.765549462297,213.28013307737402,6.402485536850199,4.505392487434425,5.707046997174048,0.866,0.912,0.3875,0.9185,0.714,3.162793812705254,2.986850501074752,46.56084355926102,46.46550872573476,46.56084355926102,0.06806756020629882,15.55669047011733,7341.958916788821,8029.005690232212,34.4240169529775,1.4053546071952103,1.0259743588998913,3.2530279343078528,0.8897561576768533,0.008830833333333335,251,17
S-A,6,random,raw,600,2000,2000,0,1.0,76.86927629788181,1534.7159505934112,1.1928261443130552,1.283529712707989,1.2284069253869658,0.8615,0.847,0.999,0.9455,0.867,0.4024493223716292,0.35793220097732154,0.37571088403602826,0.5847563448243538,0.37571088403602826,0.6882342123068625,1.6337070071586095,-4100.098114958812,13404.42863653064,-2.671568060117883,-0.10906630934009842,-0.11731546039196956,-0.8614539928723649,1.1928261443130552,0.008830833333333335,272,5
S-A,6,random,log,3000,2000,2000,0,7.195775473548889,5352.765549462297,213.28013307737402,5.382750080596164,5.367601539473765,5.946089873555977,0.9225,0.9405,0.464,0.595,0.791,1.1520403083718667,1.3357601518064905,1.7820687357533174,1.3720905647746129,1.7820687357533174,0.8396241020439544,1.0271983057130345,5613.030223631299,5532.300720377595,26.317642166863234,0.48049220917133756,0.5426287896369404,2.299354092701884,0.7480430844990557,0.0015623333333333333,129,26
S-A,6,random,raw,3000,2000,2000,0,1.0,76.86927629788181,1534.7159505934112,1.0256790615576612,1.0441831162005601,1.035606550947753,0.9165,0.932,1.0,0.999,0.918,0.1572362319249064,0.1600721465442815,0.05071316822853381,0.17103185907163038,0.05071316822853381,0.9193388458641136,1.0684673302879526,-1476.00695234683,13556.469924952637,-0.9617460167636357,-0.017558999599072832,-0.054451676205005094,-0.39882819801077984,1.0256790615576612,0.0015623333333333333,160,7
S-A,6,random,log,15000,2000,2000,0,7.195775473548889,5352.765549462297,213.28013307737402,6.456507601824565,6.472668532948408,6.704298728623789,0.938,0.9475,0.594,0.638,0.8755,0.5746934053726843,0.5973701002149503,0.891442771733191,0.6098164925616921,0.891442771733191,0.9424038417828547,1.0208353118816347,3484.6735923229885,4110.969958428948,16.338481892539026,0.13340314602807674,0.40364158107885545,1.5038779369444164,0.897263627187672,0.00029283333333333337,94,30
S-A,6,random,raw,15000,2000,2000,0,1.0,76.86927629788181,1534.7159505934112,1.0030684110639152,1.0070561033390701,1.0059924606701152,0.9315,0.9425,1.0,0.9995,0.9295,0.07033631963070598,0.0715864401954643,0.0117103813960091,0.07371976603164719,0.0117103813960091,0.9541039454806636,1.0298006973158313,-321.42180105704136,13802.699694268147,-0.2094340655889846,-0.0017100219848319902,-0.014901194303960625,-0.18170571112597098,1.0030684110639152,0.00029283333333333337,111,26
