scenario,dy,weighting,predictor,n,reps,n_folds,w_realised,w_nominal,alpha_w,alpha_w_nominal,alpha_P,alpha_equal_weight,V_w,mean_alpha_hat,sd_alpha_hat,coverage_alpha_w,coverage_alpha_w_Vw,coverage_alpha_P,coverage_alpha_equal,mean_se_plugin,se_Vw,se_over_sd,sd_sqrtn_over_sqrtVw
S-A,3,data,f2,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,5.0803958425833,5.080395842583301,5.080395842583299,5.0803958425833,1045.8676825304765,5.123024758144598,0.6013896615842192,0.9355,0.9415,0.9355,0.9355,0.5840275399370501,0.590442682098349,0.9711299964794329,1.018540291577442
S-A,3,data,f1,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,1.0076499055018873,1.0076499055018873,1.007649905501887,1.0076499055018873,30.827424558220685,1.0068809322174652,0.0447132643607764,0.9505,0.9565,0.9505,0.9505,0.044486662281312955,0.04533389060310963,0.9949321061053591,0.9863098835313582
S-A,3,data,f2,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,5.0803958425833,5.080395842583301,5.080395842583299,5.0803958425833,1045.8676825304765,5.087988386704635,0.26283564106515594,0.9545,0.954,0.9545,0.9545,0.2616403977553092,0.26405399479784136,0.9954525067262454,0.9953859674282975
S-A,3,proportional,f1,600,2000,225;225;150,0.375000;0.375000;0.250000,0.375000;0.375000;0.250000,1.0076499055018873,1.0076499055018873,1.007649905501887,1.0076499055018873,30.827424558220685,1.0034052664114306,0.22255653839744693,0.8785,0.9615,0.8785,0.8785,0.19766910736826915,0.2266694530155482,0.8881747927588036,0.9818550115007375
S-A,3,proportional,f2,600,2000,225;225;150,0.375000;0.375000;0.250000,0.375000;0.375000;0.250000,5.0803958425833,5.0803958425833,5.080395842583299,5.0803958425833,1045.8676825304765,5.27126744288036,1.4535794137930231,0.9095,0.9385,0.9095,0.9095,1.2988212379638822,1.3202699739892068,0.8935330437672412,1.1009713486106336
S-A,3,proportional,f1,3000,2000,1125;1125;750,0.375000;0.375000;0.250000,0.375000;0.375000;0.250000,1.0076499055018873,1.0076499055018873,1.007649905501887,1.0076499055018873,30.827424558220685,1.011230579173599,0.1028571720740882,0.9245,0.9455,0.9245,0.9245,0.0971542821350277,0.10136966107309209,0.9445552524528605,1.014674124242396
S-A,3,proportional,f2,3000,2000,1125;1125;750,0.375000;0.375000;0.250000,0.375000;0.375000;0.250000,5.0803958425833,5.0803958425833,5.080395842583299,5.0803958425833,1045.8676825304765,5.125392352000137,0.5982080005918488,0.937,0.9415,0.937,0.937,0.5804653192326684,0.590442682098349,0.9703402807357536,1.0131516889427825
S-A,3,proportional,f1,15000,2000,5625;5625;3750,0.375000;0.375000;0.250000,0.375000;0.375000;0.250000,1.0076499055018873,1.0076499055018873,1.007649905501887,1.0076499055018873,30.827424558220685,1.0079695302249558,0.04532266840376669,0.943,0.9515,0.943,0.943,0.0446380049199194,0.04533389060310963,0.9848935751587303,0.9997524545280881
S-A,3,proportional,f2,15000,2000,5625;5625;3750,0.375000;0.375000;0.250000,0.375000;0.375000;0.250000,5.0803958425833,5.0803958425833,5.080395842583299,5.0803958425833,1045.8676825304765,5.082863148347896,0.2632824934195119,0.9485,0.948,0.9485,0.9485,0.2617763143276066,0.26405399479784136,0.9942792280932051,0.997078243868569
S-A,4,data,f1,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,0.9196986540225316,0.9196986540225316,0.9196986540225316,0.9196986540225316,38.072998099251656,0.9240828828195656,0.2504583607717639,0.87,0.957,0.87,0.87,0.2180920133269373,0.2519027527282822,0.8707715432413885,0.9942660731537287
S-A,4,data,f2,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,3.797344720135092,3.797344720135092,3.797344720135092,3.797344720135092,700.4556829606786,3.9113529749599096,1.1352025380498485,0.89,0.949,0.89,0.89,1.0026706486713246,1.0804749595746297,0.8832526488126085,1.05065140842946
S-A,4,data,f1,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,0.9196986540225315,0.9196986540225316,0.9196986540225316,0.9196986540225316,38.072998099251635,0.9225311103747988,0.11023740618347376,0.925,0.96,0.925,0.925,0.10570418684092271,0.1126543357639519,0.958877666851067,0.978545614209271
S-A,4,data,f2,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,3.797344720135092,3.797344720135092,3.797344720135092,3.797344720135092,700.4556829606786,3.8196647354052944,0.4791201754387852,0.925,0.957,0.925,0.925,0.46036666223979056,0.48320309151904184,0.9608584356068498,0.991550310517631
S-A,4,data,f1,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,0.9196986540225316,0.9196986540225316,0.9196986540225316,0.9196986540225316,38.07299809925165,0.9182256360875855,0.04965724822178094,0.9465,0.9565,0.9465,0.9465,0.049084742030434926,0.05038055054565644,0.9884708433945218,0.9856432231080917
